Absidia_sp._NRRL_A-16789	Mucoromycota	Mucoromycotina
Actinomucor_sp._NRRL_A-23671	Mucoromycota	Mucoromycotina
Chaetocladium_brefeldii_Tieghem_Le_Monnier_NRRL_2509	Mucoromycota	Mucoromycotina
Circinella_tenella_NRRL_A-23557	Mucoromycota	Mucoromycotina
Cunninghamella_bertholletiae_NRRL_1380	Mucoromycota	Mucoromycotina
Cunninghamella_bertholletiae_NRRL_1377	Mucoromycota	Mucoromycotina
Cunninghamella_echinulata_NRRL_1385	Mucoromycota	Mucoromycotina
Cunninghamella_elegans_NRRL_1392	Mucoromycota	Mucoromycotina
Cunninghamella_elegans_NRRL_1388	Mucoromycota	Mucoromycotina
Cunninghamella_elegans_NRRL_1390	Mucoromycota	Mucoromycotina
Cunninghamella_elegans_NRRL_1391	Mucoromycota	Mucoromycotina
Cunninghamella_elegans_NRRL_1393	Mucoromycota	Mucoromycotina
Cunninghamella_sp._NRRL_A-21238	Mucoromycota	Mucoromycotina
Cunninghamella_sp._NRRL_A-21271	Mucoromycota	Mucoromycotina
Cunninghamella_echinulata_NRRL_1386	Mucoromycota	Mucoromycotina
Cunninghamella_bertholletiae_NRRL_1376	Mucoromycota	Mucoromycotina
Cunninghamella_echinulata_NRRL_1384	Mucoromycota	Mucoromycotina
Cunninghamella_echinulata_NRRL_1387	Mucoromycota	Mucoromycotina
Gilbertella_persicaria_Eddy_Hesseltine_NRRL_A-13613	Mucoromycota	Mucoromycotina
Gongronella_butleri_NRRL_A-23795	Mucoromycota	Mucoromycotina
Gongronella_butleri_NRRL_1340	Mucoromycota	Mucoromycotina
Helicostylum_sp._NRRL_1397	Mucoromycota	Mucoromycotina
Helicostylum_lucknowense_NRRL_A-16732	Mucoromycota	Mucoromycotina
Mortierella_isabellina_NRRL_A-11333	Mucoromycota	Mortirellomycotina
Mortierella_isabellina_NRRL_A-12504	Mucoromycota	Mortirellomycotina
Mucor_racemosus_Fresenius_NRRL_1622	Mucoromycota	Mucoromycotina
Mucor_racemosus_Fresenius_NRRL_1688	Mucoromycota	Mucoromycotina
Mucor_pusillus_NRRL_5893	Mucoromycota	Mucoromycotina
Mucor_hiemalis_NRRL_A-11532	Mucoromycota	Mucoromycotina
Mucor_sp._NRRL_A-26212	Mucoromycota	Mucoromycotina
Mucor_racemosus_Fresenius_NRRL_A-19185	Mucoromycota	Mucoromycotina
Mucor_caninus_NRRL_A-12555	Mucoromycota	Mucoromycotina
Mucor_sp._NRRL_A-25548	Mucoromycota	Mucoromycotina
Mucor_ramannianus_NRRL_A-21216	Mucoromycota	Mucoromycotina
Mucor_racemosus_Fresenius_NRRL_A-19189	Mucoromycota	Mucoromycotina
Mucor_javanicus_NRRL_A-17643	Mucoromycota	Mucoromycotina
Mucor_corticolus_NRRL_A-16258	Mucoromycota	Mucoromycotina
Mucor_sp._NRRL_A-21236	Mucoromycota	Mucoromycotina
Mucor_sp._NRRL_A-21230	Mucoromycota	Mucoromycotina
Mucor_sp._NRRL_A-17182	Mucoromycota	Mucoromycotina
Mucor_fragilis_NRRL_A-16026	Mucoromycota	Mucoromycotina
Mucor_sp._NRRL_A-14906	Mucoromycota	Mucoromycotina
Mucor_sp._NRRL_A-18583	Mucoromycota	Mucoromycotina
Mucor_alternans_NRRL_A-15142	Mucoromycota	Mucoromycotina
