SPECIES,STRAIN,JGILIBRARY,BIOSAMPLE,BIOPROJECT,TAXONOMY_ID,ORGANISM_NAME,SRA_SAMPID,SRA_RUNID,LOCUSTAG,TEMPLATE
Absidia corymbifera NRRL A-14689,NRRL A-14689,GWOZB,SAMN16772670,PRJNA676595,42458,Lichtheimia corymbifera,SRS7833882,SRR13200204,IWR61,ZygoLCG
Absidia corymbifera NRRL A-14836,NRRL A-14836,GWOZW,SAMN16772419,PRJNA676525,42458,Lichtheimia corymbifera,SRS7834315,SRR13200708,IWR01,ZygoLCG
Absidia corymbifera NRRL A-18864,NRRL A-18864,GWPAB;GZWZY,SAMN16772721,PRJNA676564,42458,Lichtheimia corymbifera,SRS7834684,SRR13201170,IWR40,ZygoLCG
Absidia corymbifera NRRL A-23566,NRRL A-23566,GWPAH,SAMN16772545,PRJNA676532,42458,Lichtheimia corymbifera,SRS7834545,SRR13200948,IWR08,ZygoLCG
Absidia corymbifera NRRL A-25981,NRRL A-25981,GWOZU,SAMN16772472,PRJNA676520,42458,Lichtheimia corymbifera,SRS7833997,SRR13200338,IWQ96,ZygoLCG
Absidia corymbifera NRRL A-25984,NRRL A-25984,GWPAP;HCOSB,SAMN16772339,PRJNA676555,42458,Lichtheimia corymbifera,SRS7834663,SRR13201150,IWR31,ZygoLCG
Absidia cuneospora NRRL 2655,NRRL 2655,GWOZA;GZWZO,SAMN16772366,PRJNA676562,420592,Absidia cuneospora,SRS7834681,SRR13201168,IWR38,ZygoLCG
Absidia cuneospora RSA 623_Plus,RSA 623_Plus,GBNUZ,SAMN11510655,PRJNA535831,420592,Absidia cuneospora,SRS5392973,SRR10126346,FBU52,ZygoLCG
Absidia cuneospora RSA 624-,RSA 624-,GBNWA,SAMN11510659,PRJNA535835,420592,Absidia cuneospora,SRS5392978,SRR10126351,FBU57,ZygoLCG
Absidia cylindrospora NRRL 1341,NRRL 1341,CTHSC,SAMN10361447,PRJNA499646,213030,Absidia cylindrospora,SRS4286246,SRR8481854,EC939,ZygoLCG
Absidia cylindrospora NRRL 1342,NRRL 1342,HCOPN,,,,,,,,ZygoLCG
Absidia cylindrospora NRRL 1343,NRRL 1343,CUPYN,SAMN10864346,PRJNA518916,213030,Absidia cylindrospora,SRS4604279,SRR8873053,EVY04,ZygoLCG
Absidia cylindrospora NRRL 1345,NRRL 1345,CTHPY,SAMN10361448,PRJNA499647,213030,Absidia cylindrospora,SRS4286160,SRR8481681,EC940,ZygoLCG
Absidia cylindrospora NRRL 13891,NRRL 13891,CTHPZ,SAMN10361079,PRJNA499659,213030,Absidia cylindrospora,SRS4286159,SRR8481680,EC952,ZygoLCG
Absidia cylindrospora NRRL 1560,NRRL 1560,GWOWZ,SAMN16772636,PRJNA676592,213030,Absidia cylindrospora,SRS7833551,SRR13199773,IWR58,ZygoLCG
Absidia cylindrospora NRRL 3069,NRRL 3069,CTHSG,SAMN10361215,PRJNA499668,213030,Absidia cylindrospora,SRS4286252,SRR8481862,EC962,ZygoLCG
Absidia cylindrospora var. cylindrospora NRRL 2796,NRRL 2796,CTHPT,SAMN10361575,PRJNA499687,213030,Absidia cylindrospora,SRS4286158,SRR8481679,EC981,ZygoLCG
Absidia cylindrospora var. nigra NRRL 3031,NRRL 3031,CTHSS,SAMN10361226,PRJNA499689,213030,Absidia cylindrospora,SRS4286254,SRR8481879,EC983,ZygoLCG
Absidia cylindrospora var. nigra NRRL 3032,NRRL 3032,GWOYB,SAMN16772288,PRJNA676423,213030,Absidia cylindrospora,SRS7833999,SRR13200339,IWQ58,ZygoLCG
Absidia cylindrospora var. nigra NRRL 3060,NRRL 3060,GZWZG,,,,,,,,ZygoLCG
Absidia dubia NRRL 1322,NRRL 1322,CUPYO,SAMN10872457,PRJNA518915,2512238,Absidia dubia,SRS4604567,SRR8873416,EVY03,ZygoLCG
Absidia glauca NRRL 1324,NRRL 1324,GZWXY,,,,,,,,ZygoLCG
Absidia glauca NRRL 1327,NRRL 1327,CTHSB,SAMN10361445,PRJNA499644,4829,Absidia glauca,SRS4286191,SRR8481774,EC937,ZygoLCG
Absidia glauca NRRL 1328,NRRL 1328,GZWZB,SAMEA3923311,PRJNA499644,4829,Absidia glauca,ERS1110445,SRR13200776;SRR14764006;SRR8481774ERR1353090ERR1353087ERR1353086ERR1353085ERR1353084,EC937,ZygoLCG
Absidia glauca NRRL 2460,NRRL 2460,GWOXU,SAMN16772351,PRJNA676529,4829,Absidia glauca,SRS7834372,SRR13200776,IWR05,ZygoLCG
Absidia glauca NRRL 3010,NRRL 3010,HCOPW,,,,,,,,ZygoLCG
Absidia glauca NRRL A-25980,NRRL A-25980,GZWZC,,,,,,,,ZygoLCG
Absidia hyalospora NRRL 1330,NRRL 1330,GAUUH,SAMN11510244,PRJNA536230,420593,Lichtheimia hyalospora,SRS5128315,SRR9720321,FBX83,ZygoLCG
Absidia inflata NRRL 6591,NRRL 6591,CUPYP,SAMN10872474,PRJNA519280,2512247,Absidia inflata,SRS4604623,SRR8873481,EV167,ZygoLCG
Absidia macrospora NRRL 3768,NRRL 3768,GWOYH,SAMN16772677,PRJNA676537,327742,Absidia macrospora,SRS7834549,SRR13200957,IWR13,ZygoLCG
Absidia macrospora NRRL 5839,NRRL 5839,CTHPP,SAMN10361473,PRJNA499670,327742,Absidia macrospora,SRS4286146,SRR8481667,EC964,ZygoLCG
Absidia parricida NRRL 2409,NRRL 2409,HCXBO,,,,,,,,ZygoLCG
Absidia pseudocylindrospora NRRL 2984,NRRL 2984,GBNSZ,SAMN11510674,PRJNA536127,420594,Absidia pseudocylindrospora,SRS5362790,SRR10087136,FBW80,ZygoLCG
Absidia ramosa NRRL A-13095,NRRL A-13095,GZWZP;GWOZO,SAMN16772420,PRJNA676548,688394,Lichtheimia ramosa,SRS7834625,SRR13201088,IWR24,ZygoLCG
Absidia ramosa NRRL A-16036,NRRL A-16036,GWOYS,SAMN16772355,PRJNA676594,688394,Lichtheimia ramosa,SRS7833874,SRR13200196,IWR60,ZygoLCG
Absidia ramosa NRRL A-16673,NRRL A-16673,GWOZP;GZWZS,SAMN16772638,PRJNA676554,688394,Lichtheimia ramosa,SRS7834661,SRR13201124,IWR30,ZygoLCG
Absidia ramosa NRRL A-25726,NRRL A-25726,GWOZC,SAMN16772379,PRJNA676519,688394,Lichtheimia ramosa,SRS7833995,SRR13200335,IWQ95,ZygoLCG
Absidia repens NRRL 1337,NRRL 1337,GWOXB,SAMN16772551,PRJNA676523,90262,Absidia repens,SRS7834311,SRR13200704,IWQ99,ZygoLCG
Absidia repens NRRL 1338,NRRL 1338,GWOWO,SAMN16772468,PRJNA676591,90262,Absidia repens,SRS7833549,SRR13199771,IWR57,ZygoLCG
Absidia sp. NRRL 3163,NRRL 3163,GWOYA,SAMN16810845,PRJNA676593,2789358,Absidia sp. NRRL 3163,SRS7833752,SRR13200012,IWR59,ZygoLCG
Absidia sp. NRRL A-14007,NRRL A-14007,GWOTO,SAMN16810879,PRJNA676515,2789353,Absidia sp. NRRL A-14007,SRS7833873,SRR13200195,IWQ91,ZygoLCG
Absidia sp. NRRL A-16789,NRRL A-16789,GAWAN,SAMN11533291,PRJNA536129,2572679,Absidia sp. NRRL A-16789,SRS5119276,SRR9712617,FBW82,ZygoLCG
Absidia sp. NRRL A-17469,NRRL A-17469,HCOSA,,,,,,,,ZygoLCG
Absidia sp. NRRL A-19777,NRRL A-19777,GWOZG,SAMN16810875,PRJNA676524,2789365,Absidia sp. NRRL A-19777,SRS7834326,SRR13200719,IWR00,ZygoLCG
Absidia spinosa NRRL A-13651,NRRL A-13651,CTHSP,SAMN10361474,PRJNA499677,126712,Absidia spinosa,SRS4286247,SRR8481857,EC971,ZygoLCG
Absidia spinosa var. azygospora NRRL 2841,NRRL 2841,CTHSH,SAMN10361574,PRJNA499686,126712,Absidia spinosa,SRS4286255,SRR8481880,EC980,ZygoLCG
Absidia spinosa var. biappendiculata NRRL 3033,NRRL 3033,GWOYW;GBNSY,SAMN11510665,PRJNA536117,126712,Absidia spinosa,SRS5362789,SRR13200919;SRR10087135,FBW70,ZygoLCG
Absidia zychae NRRL A-23515,NRRL A-23515,CTHPX,SAMN10361222,PRJNA499680,36079,Lentamyces zychae,SRS4286163,SRR8481682,EC974,ZygoLCG
Actinomucor elegans NRRL 13011,NRRL 13011,GWOUG,SAMN16772342,PRJNA676569,64647,Actinomucor elegans,SRS7834689,SRR13201176,IWR45,ZygoLCG
Actinomucor elegans NRRL 1403,NRRL 1403,HCOPG;GWOUW,SAMN16772622,PRJNA676549,64647,Actinomucor elegans,SRS7834629,SRR13201092,IWR25,ZygoLCG
Actinomucor elegans NRRL 1706,NRRL 1706,GZWXG;NRRL1706;GWOUH,SAMN16772587,PRJNA676556,64647,Actinomucor elegans,SRS7834664,SRR13201151,IWR32,ZygoLCG
Actinomucor elegans NRRL 3104,NRRL 3104,GWOTT,SAMN16772590,PRJNA676533,64647,Actinomucor elegans,SRS7834546,SRR13200949,IWR09,ZygoLCG
Actinomucor elegans NRRL 6572,NRRL 6572,GWPAG,SAMN16772731,PRJNA676526,64647,Actinomucor elegans,SRS7834371,SRR13200775,IWR02,ZygoLCG
Actinomucor sp. NRRL A-23671,NRRL A-23671,GAWGC,SAMN11533292,PRJNA535673,2572621,Actinomucor sp. NRRL A-23671,SRS5126456,SRR9719481,FBU17,ZygoLCG
Alternaria sp. NRRL 15289,NRRL 15289,GWOXP,SAMN16810851,PRJNA676571,2789354,Alternaria sp. NRRL 15289,SRS7834697,SRR13201203,IWR47,ZygoLCG
Amylomyces rouxii NRRL A-25885,NRRL A-25885,GPOXH,SAMN14512102,PRJNA619721,29923,Amylomyces rouxii,SRS7042340,SRR12266693,HDU74,ZygoLCG
Amylomyces rouxii NRRL A-26221,NRRL A-26221,GPOXP,SAMN14511784,PRJNA619722,29923,Amylomyces rouxii,SRS7042998,SRR12267441,HDU75,ZygoLCG
Amylomyces rouxii NRRL 3160,NRRL 3160,GPOXN,SAMN14512001,PRJNA619719,29923,Amylomyces rouxii,SRS7042868,SRR12267311,HDU72,ZygoLCG
Amylomyces rouxii NRRL 5192,NRRL 5192,GPOXO,SAMN14512101,PRJNA619720,29923,Amylomyces rouxii,SRS7042869,SRR12267312,HDU73,ZygoLCG
Apophysomyces ossiformis NRRL A-21654,NRRL A-21654,CTHST,SAMN10361476,PRJNA499679,679940,Apophysomyces ossiformis,SRS4286250,SRR8481860,EC973,ZygoLCG
Apophysomyces sp. BC1015,BC1015,CHXXB,SAMN09083227,PRJNA463337,2184030,Apophysomyces sp. BC1015,SRS3664048,SRR7686240,DFQ30,ZygoLCG
Apophysomyces sp. BC1021,BC1021,CHXXC,SAMN09083213,PRJNA463336,2184031,Apophysomyces sp. BC1021,SRS3664049,SRR7686241,DFQ29,ZygoLCG
Apophysomyces sp. BC1034,BC1034,CHXXG,SAMN09083216,PRJNA463335,2184029,Apophysomyces sp. BC1034,SRS3664050,SRR7686242,DFQ28,ZygoLCG
Backusella circina NRRL 2446,NRRL 2446,CTHSX,SAMN10361470,PRJNA499663,64653,Backusella circina,SRS441317,SRR8481859,K501,ZygoLCG
Backusella circina NRRL 3293,NRRL 3293,GWOUX;GZWXS,SAMN16772461,PRJNA676557,64653,Backusella circina,SRS7834665,SRR13201152,IWR33,ZygoLCG
Backusella circina NRRL 6007,NRRL 6007,GWOTU,SAMN16772547,PRJNA676542,64653,Backusella circina,SRS7834562,SRR13201013,IWR18,ZygoLCG
Backusella circina NRRL A-17781,NRRL A-17781,CTHSU,SAMN10361475,PRJNA499678,64653,Backusella circina,SRS4286251,SRR8481861,EC972,ZygoLCG
Backusella ctenidia NRRL 6239,NRRL 6239,GWOTS,SAMN15741646,PRJNA653071,101144,Mucor ctenidius,SRS7409153,SRR12691403;SRR13200774,H4W98,ZygoLCG
Backusella lamprospora NRRL 1401,NRRL 1401,CTHSW,SAMN10361479,PRJNA499660,64654,Backusella lamprospora,SRS4286249,SRR8481858,EC953,ZygoLCG
Backusella lamprospora NRRL 3103,NRRL 3103,GWOWA,SAMN16772292,PRJNA676521,64654,Backusella lamprospora,SRS7834312,SRR13200705,IWQ97,ZygoLCG
Backusella lamprospora NRRL 3618,NRRL 3618,HCOOZ,,,,,,,,ZygoLCG
Backusella lamprospora NRRL 3619,NRRL 3619,HCOOX,,,,,,,,ZygoLCG
Backusella lamprospora NRRL 6044_Plus,NRRL 6044_Plus,GBNWB,SAMN11510667,PRJNA536119,64654,Backusella lamprospora,SRS5392976,SRR10126349,FBW72,ZygoLCG
Basidiobolus heterosporus ARSEF 8332,ARSEF 8332,CUPXS,SAMN10865591,PRJNA519387,423455,Basidiobolus heterosporus,SRS4604796,SRR8873666,EV275,ZygoLCG
Basidiobolus ranarum AGB5,AGB5,AGB5,SAMN18260851,PRJNA713267,34480,Basidiobolus ranarum,,,,ZygoLCG
Benjaminiella youngii IMI 325629,IMI 325629,CHXXZ,SAMN09062785,PRJNA455970,1195475,Benjaminiella youngii,SRS3664062,SRR7686254,DER81,ZygoLCG
Blakeslea trispora NRRL 2456,NRRL 2456,CTHSY,SAMN10361541,PRJNA499641,4850,Blakeslea trispora,SRS4286785,SRR8482456,BD560,ZygoLCG
Chaetocladium brefeldii NRRL 1350,NRRL 1350,COZTY,SAMN10362882,PRJNA500295,101089,Chaetocladium brefeldii,SRS4247320,SRR8437486,EDC11,ZygoLCG
Chaetocladium brefeldii NRRL 2508,NRRL 2508,HCOPZ;GWPAA,SAMN16772368,PRJNA676577,101089,Chaetocladium brefeldii,SRS7834703,SRR13201209,IWR53,ZygoLCG
Chaetocladium brefeldii RSA 1136-,RSA 1136-,GBNWZ,SAMN11510670,PRJNA536122,101089,Chaetocladium brefeldii,SRS5392977,SRR10126350,FBW75,ZygoLCG
Chaetocladium brefeldii Tieghem Le Monnier NRRL 2509,NRRL 2509,GAUZO,SAMN11528550,PRJNA538876,101089,Chaetocladium brefeldii,SRS5119184,SRR9712399,FB644,ZygoLCG
Chaetocladium jonesii RSA 772,RSA 772,GPGAH,SAMN13165456,PRJNA581159,101090,Chaetocladium jonesii,SRS6088878,SRR10999137,GGF33,ZygoLCG
Chaetocladium sp. NRRL 2844,NRRL 2844,GWOZX,SAMN16810856,PRJNA676574,2789362,Chaetocladium sp. NRRL 2844,SRS7834700,SRR13201206,IWR50,ZygoLCG
Chaetocladium sp. NRRL 3029,NRRL 3029,HCOPY;GWOZZ,SAMN16810886,PRJNA676575,2789343,Chaetocladium sp. NRRL 3029,SRS7834698,SRR13201204,IWR51,ZygoLCG
Choanephora circinans NRRL 2546,NRRL 2546,GBNUG,SAMN11510673,PRJNA536126,101093,Poitrasia circinans,SRS5392979,SRR10126352,FBW79,ZygoLCG
Circinella angarensis NRRL 1594,NRRL 1594,CTHTS,SAMN10361080,PRJNA499661,1195478,Circinella angarensis,SRS4286878,SRR8482587,EC954,ZygoLCG
Circinella angarensis NRRL 2410,NRRL 2410,CUPYS,SAMN10864726,PRJNA519278,1195478,Circinella angarensis,SRS4604612,SRR8873466,EV165,ZygoLCG
Circinella angarensis NRRL 2628,NRRL 2628,GZWYA;GWOWX,SAMN16772338,PRJNA676550,1195478,Circinella angarensis,SRS7834631,SRR13201094,IWR26,ZygoLCG
Circinella angarensis RSA 198_Plus,RSA 198_Plus,GBNTO,SAMN11510829,PRJNA535824,1195478,Circinella angarensis,SRS5392980,SRR10126353,FBU45,ZygoLCG
Circinella angarensis RSA 618-,RSA 618-,GBNTP,SAMN11510831,PRJNA535826,1195478,Circinella angarensis,SRS5392974,SRR10126347,FBU47,ZygoLCG
Circinella chinensis CBS 150.53,CBS 150.53,CHXXT,SAMN09062758,PRJNA455974,1195479,Circinella chinensis,SRS3664058,SRR7686250,DER85,ZygoLCG
Circinella chinensis NRRL 2415,NRRL 2415,CTHTX,SAMN10361081,PRJNA499662,1195479,Circinella chinensis,SRS4287285,SRR8482996,EC955,ZygoLCG
Circinella minor CBS 143.56,CBS 143.56,CHXXS,SAMN09062759,PRJNA455975,1195481,Circinella minor,SRS3664056,SRR7686248,DER86,ZygoLCG
Circinella minor NRRL 1365,NRRL 1365,CTHTH,SAMN10361467,PRJNA499656,1195481,Circinella minor,SRS4286874,SRR8482562,EC949,ZygoLCG
Circinella mucoroides NRRL 1354,NRRL 1354,CUPYT,SAMN10864746,PRJNA519264,1553899,Circinella mucoroides,SRS4604625,SRR8873479,EV151,ZygoLCG
Circinella muscae CBS 107.13T,CBS 107.13T,GBNUP,SAMN11510818,PRJNA535808,1171613,Circinella muscae,SRS5392559,SRR10125931,FBU26,ZygoLCG
Circinella muscae NRRL 1352,NRRL 1352,CTHTN,SAMN10361449,PRJNA499648,1171613,Circinella muscae,SRS4286872,SRR8482561,EC941,ZygoLCG
Circinella muscae NRRL 1355,NRRL 1355,CTHTA,SAMN10361450,PRJNA499649,1171613,Circinella muscae,SRS4286780,SRR8482450,EC942,ZygoLCG
Circinella muscae NRRL 1356,NRRL 1356,CTHTP,SAMN10361451,PRJNA499650,1171613,Circinella muscae,SRS4286880,SRR8482590,EC943,ZygoLCG
Circinella muscae NRRL 1357,NRRL 1357,CTHTG,SAMN10361452,PRJNA499651,1171613,Circinella muscae,SRS4286876,SRR8482565,EC944,ZygoLCG
Circinella muscae NRRL 1360,NRRL 1360,CTHTC,SAMN10361077,PRJNA499652,1171613,Circinella muscae,SRS4286873,SRR8482563,EC945,ZygoLCG
Circinella muscae NRRL 1362,NRRL 1362,CTHTO,SAMN10361078,PRJNA499653,1171613,Circinella muscae,SRS4286875,SRR8482564,EC946,ZygoLCG
Circinella muscae NRRL 1363,NRRL 1363,CTHTU,SAMN10361453,PRJNA499654,1171613,Circinella muscae,SRS4286877,SRR8482588,EC947,ZygoLCG
Circinella muscae NRRL 1364,NRRL 1364,CTHSZ,SAMN10361466,PRJNA499655,1171613,Circinella muscae,SRS4286783,SRR8482454,EC948,ZygoLCG
Circinella muscae NRRL 1367,NRRL 1367,CTHTT,SAMN10361469,PRJNA499658,1171613,Circinella muscae,SRS4286879,SRR8482589,EC951,ZygoLCG
Circinella muscae NRRL 2403,NRRL 2403,CTHTW,SAMN13170865,PRJNA585271,1171613,Circinella muscae,SRS5952105,SRR10841527,GGT66,ZygoLCG
Circinella naumovii NRRL 5846,NRRL 5846,GWPAN,SAMN16772546,PRJNA676541,1196579,Pirella naumovii,SRS7834598,SRR13201061,IWR17,ZygoLCG
Circinella rigida NRRL 2341,NRRL 2341,CUPYU,SAMN10864750,PRJNA519268,1195482,Mucor durus,SRS4604581,SRR8873435,EV155,ZygoLCG
Circinella simplex CBS 142.35,CBS 142.35,CHXXP,SAMN09062760,PRJNA455976,1195483,Circinella simplex,SRS3664053,SRR7686245,DER87,ZygoLCG
Circinella simplex van Tieghem NRRL 2407,NRRL 2407,GAUXH,,,,,,,,ZygoLCG
Circinella tenella NRRL A-23557,NRRL A-23557,GAWGA,SAMN11532699,PRJNA536130,201730,Mucor janssenii,SRS5126461,SRR9719495,FBW83,ZygoLCG
Circinella umbellata NRRL 1366,NRRL 1366,CTHTB,SAMN10361468,PRJNA499657,101103,Circinella umbellata,SRS4286811,SRR8482479,EC950,ZygoLCG
Circinella umbellata NRRL 2417,NRRL 2417,GWOWC,SAMN16772586,PRJNA676535,101103,Circinella umbellata,SRS7834547,SRR13200950,IWR11,ZygoLCG
Circinella umbellata RSA 505_Plus,RSA 505_Plus,GBNWH,PRJNA535050,PRJNA535048,101103,Circinella umbellata,SRS5392972,SRR10126345,FBN40,ZygoLCG
Circinomucor circinelloides NRRL 22899,NRRL 22899,GBNSC,SAMN11532043,PRJNA538880,101506,Circinomucor circinelloides,SRS5392971,SRR10126344,FB648,ZygoLCG
Coemansia aciculifera BCRC 34181,BCRC 34181,GPGGC,SAMN13165656,PRJNA581600,417176,Coemansia aciculifera,SRS6088993,SRR10999364,GGI21,ZygoLCG
Coemansia aciculifera CBS 109363,CBS 109363,GXCYS,SAMN16773956,PRJNA677035,417176,Coemansia aciculifera,SRS7834705,SRR13201210,IWW38,ZygoLCG
Coemansia aciculifera CBS 516.66,CBS 516.66,GWWAZ,SAMN15719989,PRJNA650740,417176,Coemansia aciculifera,SRS7622162,SRR12951279,H4R27,ZygoLCG
Coemansia aciculifera NRRL 2694,NRRL 2694,GPCZB,SAMN13165557,PRJNA581572,417176,Coemansia aciculifera,SRS6088627,SRR10998817,GGH93,ZygoLCG
Coemansia aciculifera RSA 476,RSA 476,GPGCG,SAMN13165642,PRJNA581573,417176,Coemansia aciculifera,SRS6088950,SRR10999321,GGH94,ZygoLCG
Coemansia asiatica BCRC 34628,BCRC 34628,GBNTG,SAMN11532557,PRJNA538871,1052880,Coemansia asiatica,SRS5392557,SRR10125929,FB639,ZygoLCG
Coemansia asiatica NBRC 105413,NBRC 105413,NC105413,,,,,,,,ZygoLCG
Coemansia biformis BCRC 34381,BCRC 34381,BCR34381,,,,,,,,ZygoLCG
Coemansia brasiliensis NRRL 1566,NRRL 1566,GWCZW,SAMN16773253,PRJNA677033,2650707,Coemansia brasiliensis,SRS7834737,SRR13201249,IWW36,ZygoLCG
Coemansia erecta BCRC 34228,BCRC 34228,GPCYX,SAMN13165570,PRJNA581601,147472,Coemansia erecta,SRS6088608,SRR10998767,GGI22,ZygoLCG
Coemansia erecta CBS 336.87,CBS 336.87,GWCZX,SAMN18251567,PRJNA711391,147472,Coemansia erecta,,,J3B02,ZygoLCG
Coemansia erecta CBS 939.97,CBS 939.97,GWCZY,SAMN18251565,PRJNA711390,147472,Coemansia erecta,,,J3B01,ZygoLCG
Coemansia erecta IMI 279145,IMI 279145,GWCZZ,SAMN16773115,PRJNA677046,147472,Coemansia erecta,SRS7834734,SRR13201245,IWW50,ZygoLCG
Coemansia erecta NBRC 32514,NBRC 32514,NRC32514,,,,,,,,ZygoLCG
Coemansia formosensis NRRL 5531T,NRRL 5531T,GBNUS,SAMN11510821,PRJNA535812,327750,Coemansia formosensis,SRS5392555,SRR10125927,FBU31,ZygoLCG
