SPECIES,STRAIN,JGILIBRARY,BIOSAMPLE,BIOPROJECT,TAXONOMY_ID,ORGANISM_NAME,SRA_SAMPID,SRA_RUNID,LOCUSTAG,TEMPLATE
Absidia anomala NRRL 1807,NRRL 1807,HCOPS,,,,,,,,ZygoLCG
Absidia blakesleeana NRRL 1300,NRRL 1300,CTHPA,SAMN10363164,PRJNA500524,101563,Lichtheimia blakesleeana,SRS4093122,SRR8263185,EDD06,ZygoLCG
Absidia blakesleeana NRRL 1301,NRRL 1301,CTHPB,SAMN10363194,PRJNA500525,101563,Lichtheimia blakesleeana,SRS4093141,SRR8263201,EDD07,ZygoLCG
Absidia blakesleeana NRRL 1303,NRRL 1303,GZWXZ;GWOWW,SAMN16772711,PRJNA676544,101563,Lichtheimia blakesleeana,SRS7834623,SRR13201086,IWR20,ZygoLCG
Absidia caerulea RSA 138-,RSA 138-,GBNUX,SAMN11493356,PRJNA535039,90261,Absidia caerulea,SRS5392554,SRR10125926,FBN30,ZygoLCG
Absidia caerulea RSA 138_Plus,RSA 138_Plus,GBNUY,SAMN11493357,PRJNA535042,90261,Absidia caerulea,SRS5392560,SRR10125932,FBN33,ZygoLCG
Absidia californica NRRL 2709,NRRL 2709,CTHPU,SAMN10361471,PRJNA499665,327741,Absidia californica,SRS4286156,SRR8481677,EC959,ZygoLCG
Absidia californica NRRL 2967,NRRL 2967,CTHSN,SAMN13170688,PRJNA585273,327741,Absidia californica,SRS5952106,SRR10841528,GGT68,ZygoLCG
Absidia coerulea NRRL 1310,NRRL 1310,CTHPC,SAMN10363195,PRJNA500526,90261,Absidia caerulea,SRS4093132,SRR8263195,EDD08,ZygoLCG
Absidia coerulea NRRL 1312,NRRL 1312,GWOXY;HCOPU,SAMN16772322,PRJNA676551,90261,Absidia caerulea,SRS7834630,SRR13201093,IWR27,ZygoLCG
Absidia coerulea NRRL 1313,NRRL 1313,CTHPG,SAMN10363165,PRJNA500527,90261,Absidia caerulea,SRS4093104,SRR8263167,EDD09,ZygoLCG
Absidia coerulea NRRL 1314,NRRL 1314,CTHPH,SAMN10363196,PRJNA500528,90261,Absidia caerulea,SRS4093137,SRR8263198,EDD10,ZygoLCG
Absidia coerulea NRRL 1502,NRRL 1502,GWOXZ,SAMN16772293,PRJNA676561,90261,Absidia caerulea,SRS7834680,SRR13201167,IWR37,ZygoLCG
Absidia coerulea NRRL 5926,NRRL 5926,CTHPO,SAMN13170812,PRJNA585274,90261,Absidia caerulea,SRS5951699,SRR10841506,GGT69,ZygoLCG
Absidia coerulea NRRL A-26290,NRRL A-26290,CTHPW,SAMN10361223,PRJNA499681,90261,Absidia caerulea,SRS4286157,SRR8481678,EC975,ZygoLCG
Absidia coerulea NRRL A-9483,NRRL A-9483,CTHSA,SAMN10361224,PRJNA499682,90261,Absidia caerulea,SRS4286155,SRR8481676,EC976,ZygoLCG
Absidia corymbifera Cohn Saccardo Trotter NRRL 1334,NRRL 1334,GAUUC,SAMN11510243,PRJNA536229,42458,Lichtheimia corymbifera,SRS5128314,SRR9720320,FBX82,ZygoLCG
Absidia corymbifera NRRL 1318,NRRL 1318,GWOXH;GZWYH,SAMN16772734,PRJNA676545,42458,Lichtheimia corymbifera,SRS7834622,SRR13201085,IWR21,ZygoLCG
Absidia corymbifera NRRL 1321,NRRL 1321,HCOPO;GWOXO,SAMN16772328,PRJNA676560,42458,Lichtheimia corymbifera,SRS7834678,SRR13201165,IWR36,ZygoLCG
Absidia corymbifera NRRL 1331,NRRL 1331,GWOXA,SAMN16772356,PRJNA676518,42458,Lichtheimia corymbifera,SRS7833996,SRR13200337,IWQ94,ZygoLCG
Absidia corymbifera NRRL 1516,NRRL 1516,GWOUY,SAMN16772544,PRJNA676590,42458,Lichtheimia corymbifera,SRS7833553,SRR13199775,IWR56,ZygoLCG
Absidia corymbifera NRRL 1561,NRRL 1561,GWOXX,SAMN16772540,PRJNA676546,42458,Lichtheimia corymbifera,SRS7834624,SRR13201087,IWR22,ZygoLCG
Absidia corymbifera NRRL 1590,NRRL 1590,GWOYO;HCOPX,SAMN16772715,PRJNA676552,42458,Lichtheimia corymbifera,SRS7834632,SRR13201095,IWR28,ZygoLCG
Absidia corymbifera NRRL 2798,NRRL 2798,CTHPS,SAMN13170811,PRJNA585272,42458,Lichtheimia corymbifera,SRS5951700,SRR10841507,GGT67,ZygoLCG
Absidia corymbifera NRRL 2982,NRRL 2982,CWSAZ,SAMN11512116,PRJNA537979,42458,Lichtheimia corymbifera,SRS4736025,SRR9029097,FB407,ZygoLCG
Absidia corymbifera NRRL 3177,NRRL 3177,GZWZN;GWOYZ,SAMN16772327,PRJNA676553,42458,Lichtheimia corymbifera,SRS7834662,SRR13201149,IWR29,ZygoLCG
Absidia corymbifera NRRL 6232,NRRL 6232,GWOYG,SAMN16772637,PRJNA676530,42458,Lichtheimia corymbifera,SRS7834375,SRR13200778,IWR06,ZygoLCG
Absidia corymbifera NRRL 6247,NRRL 6247,GWOYX,SAMN16772591,PRJNA676538,42458,Lichtheimia corymbifera,SRS7834551,SRR13200959,IWR14,ZygoLCG
Absidia corymbifera NRRL 6248,NRRL 6248,GZWZT;GWOZS,SAMN16772408,PRJNA676563,42458,Lichtheimia corymbifera,SRS7834682,SRR13201169,IWR39,ZygoLCG
Absidia corymbifera NRRL 6250,NRRL 6250,GZWZH,,,,,,,,ZygoLCG
Absidia corymbifera NRRL A-13288,NRRL A-13288,GWOZH,SAMN16772671,PRJNA676531,42458,Lichtheimia corymbifera,SRS7834376,SRR13200779,IWR07,ZygoLCG
Absidia corymbifera NRRL A-13636,NRRL A-13636,GWOZY,SAMN16772654,PRJNA676540,42458,Lichtheimia corymbifera,SRS7834552,SRR13200960,IWR16,ZygoLCG
