GZWZC	Absidia_glauca_NRRL_A-25980.LCG
GAUUH	Absidia_hyalospora_NRRL_1330.LCG
CUPYP	Absidia_inflata_NRRL_6591.LCG
GWOYH	Absidia_macrospora_NRRL_3768.LCG
CTHPP	Absidia_macrospora_NRRL_5839.LCG
Chlpad1	Absidia_padenii_NRRL_2977
GBNSZ	Absidia_pseudocylindrospora_NRRL_2984.LCG
GZWZP	Absidia_ramosa_NRRL_A-13095.LCG
GWOYS	Absidia_ramosa_NRRL_A-16036.LCG
GZWZS	Absidia_ramosa_NRRL_A-16673.LCG
GWOZC	Absidia_ramosa_NRRL_A-25726.LCG
Absrep1	Absidia_repens_NRRL_1336
GWOXB	Absidia_repens_NRRL_1337.LCG
GWOWO	Absidia_repens_NRRL_1338.LCG
CTHSP	Absidia_spinosa_NRRL_A-13651.LCG
CTHSH	Absidia_spinosa_var._azygospora_NRRL_2841.LCG
GWOYW	Absidia_spinosa_var._biappendiculata_NRRL_3033.LCG
GWOYA	Absidia_sp._NRRL_3163.LCG
GWOTO	Absidia_sp._NRRL_A-14007.LCG
GAWAN	Absidia_sp._NRRL_A-16789.LCG
HCOSA	Absidia_sp._NRRL_A-17469.LCG
GWOZG	Absidia_sp._NRRL_A-19777.LCG
CTHPX	Absidia_zychae_NRRL_A-23515.LCG
ATET	Acaulopage_tetraceros
GWOUG	Actinomucor_elegans_NRRL_13011.LCG
HCOPG	Actinomucor_elegans_NRRL_1403.LCG
NRRL1706	Actinomucor_elegans_NRRL_1706.LCG
GWOTT	Actinomucor_elegans_NRRL_3104.LCG
GWPAG	Actinomucor_elegans_NRRL_6572.LCG
GAWGC	Actinomucor_sp._NRRL_A-23671.LCG
GWOXP	Alternaria_sp._NRRL_15289.LCG
GPOXN	Amylomyces_rouxii_NRRL_3160.LCG
GPOXO	Amylomyces_rouxii_NRRL_5192.LCG
Amyrou1	Amylomyces_rouxii_NRRL_5866
GPOXH	Amylomyces_rouxii_NRRL_A-25885.LCG
G230	Apophysomyces_elegans_B7760
CTHST	Apophysomyces_ossiformis_NRRL_A-21654.LCG
CHXXB	Apophysomyces_sp._BC1015.LCG
CHXXC	Apophysomyces_sp._BC1021.LCG
CHXXG	Apophysomyces_sp._BC1034.LCG
G229	Apophysomyces_trapeziformis_B9324
Bacci1	Backusella_circina_FSU_941
